Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
174-01,14,C2H4,C=C,-7.636,-0.174,-3.9050000000000002,7.462,28.03,2,0.8,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-02,15,C2H4_2,C=CC=C,-6.591,-1.106,-3.8485,5.485,54.05,4,1.36,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-03,16,C2H4_4,C=C/C=C/C=C/C=C,-5.706,-1.965,-3.8355,3.7410000000000005,106.08,8,2.47,False,False,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-04,17,C2H4_8,C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C,-5.079,-2.579,-3.8289999999999997,2.4999999999999996,210.14,16,4.7,False,False,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-05,18,C2H4_16,C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C,-4.699,-2.946,-3.8225,1.7529999999999997,418.27,32,9.15,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-06,19,C2H4_32,C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C,-4.509,-3.124,-3.8165000000000004,1.3850000000000002,834.52,64,18.04,False,False,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-07,20,C2H4_C4,C=C/C=C\C=C/C=C,-5.767,-1.9,-3.8335,3.8670000000000004,106.08,8,2.47,False,False,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-08,21,C2H4_C8,C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C,-5.258,-2.449,-3.8535,2.809,210.14,16,4.7,False,False,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-09,22,C2H4_C16,C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C,-5.005,-2.741,-3.873,2.264,418.27,32,9.15,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-10,23,C2H2,C#C,-8.144,0.531,-3.8065,8.675,26.02,2,0.25,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-11,24,C4H2,C#CC#C,-7.439,-1.116,-4.2775,6.323,50.02,4,0.25,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-12,25,C8H2,C#CC#CC#CC#C,-6.833,-2.515,-4.674,4.318,98.02,8,0.26,False,False,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-13,26,C16H2,C#CC#CC#CC#CC#CC#CC#CC#C,-6.41,-3.467,-4.9385,2.943,194.02,16,0.27,False,False,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-14,27,C32H2,C#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#C,-6.179,-4.019,-5.099,2.16,386.02,32,0.3,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-24,28,PhC2H3,C=CC1=CC=CC=C1,-6.36,-1.309,-3.8345000000000002,5.051,104.06,8,2.33,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-25,29,PhC2H32_T,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.663,-2.012,-3.8375000000000004,3.6510000000000002,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-26,30,PhC2H34_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.273,-2.409,-3.8409999999999997,2.864,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-27,31,PhC2H38_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.101,-2.59,-3.8455,2.511,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-28,32,PhC2H316_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.042,-2.655,-3.8484999999999996,2.387,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-29,33,PhC2H32_C,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.665,-1.989,-3.827,3.676,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-30,34,PhC2H34_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.277,-2.383,-3.83,2.894,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-31,35,PhC2H38_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.106,-2.564,-3.835,2.542,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-32,36,PhC2H316_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.046,-2.63,-3.838,2.4160000000000004,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-15,37,PhC2H,C#CC1=CC=CC=C1,-6.649,-1.25,-3.9495,5.399,102.05,8,1.67,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-16,38,PhC2H2_T,C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,-6.35,-1.706,-4.028,4.644,202.08,16,3.07,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-17,39,PhC2H4_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1,-6.289,-1.762,-4.0255,4.526999999999999,402.14,32,5.87,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-18,40,PhC2H8_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-6.283,-1.78,-4.0315,4.503,802.27,64,11.47,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-19,41,PhC2H16_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=C(C#CC9=CC=C(C#CC%10=CC=C(C#CC%11=CC=C(C#CC%12=CC=C(C#CC%13=CC=C(C#CC%14=CC=C(C#CC%15=CC=C(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-6.283,-1.783,-4.033,4.5,1602.52,128,22.66,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-20,42,PhC2H2_C,C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,-6.012,-2.008,-4.01,4.004,202.08,16,3.07,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-21,43,PhC2H4_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1,-5.668,-2.449,-4.0585,3.2190000000000003,406.17,32,5.79,False,True,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-22,44,PhC2H8_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.527,-2.648,-4.0875,2.879,814.36,64,11.24,False,True,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-23,45,PhC2H16_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8C=CC(C#CC9C=CC(C#CC%10C=CC(C#CC%11C=CC(C#CC%12C=CC(C#CC%13C=CC(C#CC%14C=CC(C#CC%15C=CC(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.481,-2.721,-4.101,2.76,1630.74,128,22.13,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-25,46,PhC2H32_T,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.663,-2.012,-3.8375000000000004,3.6510000000000002,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-26,47,PhC2H34_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.273,-2.409,-3.8409999999999997,2.864,414.23,32,8.33,False,True,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-27,48,PhC2H38_T,C=CC1=CC=C(/C=C/[C@H]2C=C[C@H](/C=C/[C@H]3C=C[C@H](/C=C/[C@H]4C=C[C@H](/C=C/[C@H]5C=C[C@H](/C=C/[C@H]6C=C[C@H](/C=C/[C@H]7C=C[C@@H](/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.101,-2.59,-3.8455,2.511,830.49,64,15.99,False,True,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-28,49,PhC2H316_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4C=CC(/C=C/C5C=CC(/C=C/C6C=CC(/C=C/C7C=CC(/C=C/C8C=CC(/C=C/C9C=CC(/C=C/C%10C=CC(/C=C/C%11C=CC(/C=C/C%12C=CC(/C=C/C%13C=CC(/C=C/C%14C=CC(/C=C/C%15C=CC(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.042,-2.655,-3.8484999999999996,2.387,1662.99,128,31.3,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-29,50,PhC2H32_C,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.665,-1.989,-3.827,3.676,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-30,51,PhC2H34_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.277,-2.383,-3.83,2.894,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-31,52,PhC2H38_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.106,-2.564,-3.835,2.542,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-32,53,PhC2H316_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.046,-2.63,-3.838,2.4160000000000004,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
277-01,54,VC_01_Gas,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-6.495,-0.908,-3.7015000000000002,5.587,176.03,12,-1.41,False,False,2,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False
277-02,55,TEA_01_Gas,CCN(CC)CC,-5.893,0.986,-2.4535,6.879,101.12,7,1.35,True,False,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
277-03,56,TEOA_01_Gas,OCCN(CCO)CCO,-6.088,0.524,-2.782,6.612,149.11,10,-1.73,True,False,0,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False
277-04,57,BIH_01_Gas,CN1C2=CC=CC=C2N(C)C1C1=CC=CC=C1,-4.773,-0.856,-2.8145,3.917,224.13,17,3.27,False,True,6,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
277-05,58,H2SO3_01_Gas,O=S(O)O,-8.344,-0.353,-4.3485,7.991,81.97,4,-0.32,False,False,1,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
312-03,59,Hexatriene,C=C/C=C/C=C,-6.045,-1.634,-3.8395,4.411,80.06,6,1.91,False,False,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-07,60,VinylAcetylene,C#CC=C,-6.958,-1.242,-4.1,5.716,52.03,4,0.81,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-10,61,Styrene,C=CC1=CC=CC=C1,-6.36,-1.31,-3.835,5.050000000000001,104.06,8,2.33,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-11,62,Divinylbenzene,C=CC1=CC=C(C=C)C=C1,-6.025,-1.749,-3.8870000000000005,4.276,130.08,10,2.97,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-12,63,DiphenylEthylene,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,-5.812,-1.771,-3.7915,4.041,180.09,14,3.86,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-14,64,DiEthynylbenzene,C#CC1=CC=C(C#C)C=C1,-6.495,-1.825,-4.16,4.67,126.05,10,1.65,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-14,65,Ethynylbenzene_0,C(#CC1=CC=CC=C1)C1=CC=CC=C1,-6.016,-1.654,-3.835,4.362,178.08,14,3.09,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-15,66,Ethynylbenzene_90,C(#CC1=CC=CC=C1)C1=CC=CC=C1,-6.479,-1.124,-3.8015,5.355,178.08,14,3.09,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-16,67,Biphenyl,C1=CC=C(C2=CC=CC=C2)C=C1,-6.353,-1.12,-3.7365,5.233,154.08,12,3.35,False,True,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-17,68,Terphenyl_Cis,C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1,-6.051,-1.423,-3.737,4.628,230.11,18,5.02,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-18,69,Terphenyl_Trans,C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1,-6.063,-1.433,-3.7479999999999998,4.63,230.11,18,5.02,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-19,70,QuarterPhenyl_Cis,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.899,-1.577,-3.738,4.322,306.14,24,6.69,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-24,71,Anthracene,C1=CC2=C(C=C1)C=C1C=CC=CC1=C2,-5.539,-2.003,-3.771,3.5359999999999996,178.08,14,3.99,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-25,72,Phenanthrene,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,-6.05,-1.376,-3.713,4.6739999999999995,178.08,14,3.99,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-27,73,Tetraphene,C1=CC=C2C=C3C(=CC2=C1)C=CC1=C3C=CC=C1,-5.63,-1.921,-3.7755,3.7089999999999996,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-28,74,Pyrene,C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2,-5.635,-1.829,-3.7319999999999998,3.806,202.08,16,4.58,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-29,75,Triphenylene,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=CC=CC=C21,-6.159,-1.322,-3.7405,4.837,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-31,76,Tetrahelicene,C1=CC2=C(C=C1)C1=C3C=CC=CC3=CC=C1C=C2,-5.844,-1.691,-3.7675,4.1530000000000005,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-32,77,Pentacene,C1=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2C=C1,-4.899,-2.732,-3.8155,2.167,280.13,22,3.93,False,True,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-33,78,Hexacene,C1=C2C=CC=CC2=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC12,-4.707,-2.952,-3.8295,1.755,330.14,26,3.07,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-34,79,Coronene,C1=CC2=CC=C3C=CC4=C5C3=C2C2=C3C(=CC=C12)C=CC(=C35)C=C4,-5.741,-1.751,-3.7459999999999996,3.9899999999999998,300.09,24,6.92,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-35,80,Toluene,CC1=CC=CC=C1,-6.715,-0.384,-3.5495,6.3309999999999995,92.06,7,2.0,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-36,81,oX,CC1=C(C)C=CC=C1,-6.539,-0.228,-3.3834999999999997,6.311,106.08,8,2.3,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-37,82,pX,CC1=CC=C(C)C=C1,-6.424,-0.352,-3.3880000000000003,6.072,106.08,8,2.3,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-38,83,iPrPh,CC(C)C1=CC=CC=C1,-6.717,-0.371,-3.5439999999999996,6.346,120.09,9,2.81,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-39,84,pDiiPrPh,CC(C)C1=CC=C(C(C)C)C=C1,-6.436,-0.334,-3.385,6.102,162.14,12,3.93,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-40,85,BnOMe,COCC1=CC=CC=C1,-6.724,-0.376,-3.5500000000000003,6.348,122.07,9,1.83,False,True,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
312-41,86,pDiCH2OMe,COCC1=CC=C(COC)C=C1,-6.485,-0.336,-3.4105000000000003,6.149,166.1,12,1.98,False,True,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
312-42,87,CF3Ph,FC(F)(F)C1=CC=CC=C1,-7.599,-1.224,-4.4115,6.375,146.03,10,2.71,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-43,88,pDiCF3,FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-8.107,-1.924,-5.015499999999999,6.183,214.02,14,3.72,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-44,89,BnCl,ClCC1=CC=CC=C1,-7.135,-1.101,-4.118,6.034,126.02,8,2.43,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
